video_stem,npz_relpath,n_frames,native_fps_used,detection_rate_left,detection_rate_right,detection_rate_overall
HandWash_005_A_02_G_01,HandWash_005_A_02_G_01.npz,470,30.06,0.9574,0.666,0.8117
HandWash_006_A_02_G_01,HandWash_006_A_02_G_01.npz,408,30.07,0.625,0.9338,0.7794
HandWash_007_A_02_G_01,HandWash_007_A_02_G_01.npz,408,30.07,0.6863,0.848,0.7672
HandWash_008_A_02_G_01,HandWash_008_A_02_G_01.npz,610,30.05,0.7262,0.7311,0.7287
HandWash_009_A_02_G_02,HandWash_009_A_02_G_02.npz,546,30.06,0.815,0.9048,0.8599
HandWash_010_A_02_G_02,HandWash_010_A_02_G_02.npz,411,30.07,0.9246,0.6764,0.8005
HandWash_011_A_02_G_02,HandWash_011_A_02_G_02.npz,613,30.05,0.4747,0.9527,0.7137
HandWash_012_A_02_G_03,HandWash_012_A_02_G_03.npz,405,30.07,1.0,0.0222,0.5111
HandWash_013_A_02_G_03,HandWash_013_A_02_G_03.npz,408,30.07,1.0,0.0147,0.5074
HandWash_014_A_02_G_03,HandWash_014_A_02_G_03.npz,272,30.11,1.0,0.0184,0.5092
HandWash_015_A_02_G_04,HandWash_015_A_02_G_04.npz,413,30.07,0.7651,0.9419,0.8535
HandWash_016_A_02_G_04,HandWash_016_A_02_G_04.npz,344,30.09,0.689,0.8401,0.7645
HandWash_017_A_02_G_04,HandWash_017_A_02_G_04.npz,339,30.09,0.7581,0.8997,0.8289
HandWash_018_A_02_G_05,HandWash_018_A_02_G_05.npz,361,30.08,0.2188,1.0,0.6094
HandWash_019_A_02_G_05,HandWash_019_A_02_G_05.npz,338,30.09,0.3166,1.0,0.6583
HandWash_020_A_02_G_05,HandWash_020_A_02_G_05.npz,412,30.07,0.3859,0.9976,0.6917
HandWash_021_A_02_G_05,HandWash_021_A_02_G_05.npz,328,30.09,0.0305,1.0,0.5152
HandWash_022_A_02_G_05,HandWash_022_A_02_G_05.npz,373,30.08,0.0027,1.0,0.5013
HandWash_023_A_02_G_05,HandWash_023_A_02_G_05.npz,391,30.08,0.0409,1.0,0.5205
HandWash_024_A_02_G_05,HandWash_024_A_02_G_05.npz,252,30.12,0.3016,0.996,0.6488
HandWash_025_A_02_G_05,HandWash_025_A_02_G_05.npz,234,30.13,0.0085,1.0,0.5043
HandWash_001_A_03_G_01,HandWash_001_A_03_G_01.npz,267,30.11,0.0225,1.0,0.5112
HandWash_002_A_03_G_01,HandWash_002_A_03_G_01.npz,467,30.06,0.0171,1.0,0.5086
HandWash_003_A_03_G_01,HandWash_003_A_03_G_01.npz,401,30.08,0.0549,1.0,0.5274
HandWash_004_A_03_G_01,HandWash_004_A_03_G_01.npz,398,30.08,0.0905,0.9573,0.5239
HandWash_005_A_03_G_01,HandWash_005_A_03_G_01.npz,396,30.08,0.0581,1.0,0.529
HandWash_006_A_03_G_01,HandWash_006_A_03_G_01.npz,477,30.06,0.0126,1.0,0.5063
HandWash_007_A_03_G_01,HandWash_007_A_03_G_01.npz,344,30.09,0.0029,1.0,0.5015
HandWash_008_A_03_G_01,HandWash_008_A_03_G_01.npz,546,30.06,0.0018,0.9982,0.5
HandWash_009_A_03_G_02,HandWash_009_A_03_G_02.npz,472,30.06,0.5572,1.0,0.7786
HandWash_010_A_03_G_02,HandWash_010_A_03_G_02.npz,605,30.05,0.3587,1.0,0.6793
HandWash_011_A_03_G_02,HandWash_011_A_03_G_02.npz,671,30.04,0.3532,1.0,0.6766
HandWash_012_A_03_G_03,HandWash_012_A_03_G_03.npz,272,30.11,0.375,0.9963,0.6857
HandWash_013_A_03_G_03,HandWash_013_A_03_G_03.npz,408,30.07,0.3186,1.0,0.6593
HandWash_014_A_03_G_03,HandWash_014_A_03_G_03.npz,339,30.09,0.3392,1.0,0.6696
HandWash_015_A_03_G_04,HandWash_015_A_03_G_04.npz,408,30.07,0.0074,1.0,0.5037
HandWash_016_A_03_G_04,HandWash_016_A_03_G_04.npz,336,30.09,0.006,1.0,0.503
HandWash_017_A_03_G_04,HandWash_017_A_03_G_04.npz,336,30.09,0.006,1.0,0.503
HandWash_018_A_03_G_05,HandWash_018_A_03_G_05.npz,410,30.07,0.2707,0.3585,0.3146
HandWash_019_A_03_G_05,HandWash_019_A_03_G_05.npz,329,30.09,0.9939,0.079,0.5365
HandWash_020_A_03_G_05,HandWash_020_A_03_G_05.npz,245,30.12,1.0,0.0939,0.5469
HandWash_021_A_03_G_05,HandWash_021_A_03_G_05.npz,378,30.08,0.0317,0.5873,0.3095
HandWash_022_A_03_G_05,HandWash_022_A_03_G_05.npz,400,30.08,0.0475,0.43,0.2387
HandWash_023_A_03_G_05,HandWash_023_A_03_G_05.npz,285,30.11,0.1263,0.9333,0.5298
HandWash_024_A_03_G_05,HandWash_024_A_03_G_05.npz,289,30.1,0.955,0.6644,0.8097
HandWash_025_A_03_G_05,HandWash_025_A_03_G_05.npz,258,30.12,0.0116,0.0271,0.0194
HandWash_001_A_04_G_01,HandWash_001_A_04_G_01.npz,334,30.09,0.9581,0.979,0.9686
HandWash_002_A_04_G_01,HandWash_002_A_04_G_01.npz,405,30.07,0.9309,0.9111,0.921
HandWash_003_A_04_G_01,HandWash_003_A_04_G_01.npz,405,30.07,0.9333,0.8642,0.8988
HandWash_004_A_04_G_01,HandWash_004_A_04_G_01.npz,398,30.08,0.9523,0.309,0.6307
HandWash_005_A_04_G_01,HandWash_005_A_04_G_01.npz,470,30.06,0.9766,0.7213,0.8489
HandWash_006_A_04_G_01,HandWash_006_A_04_G_01.npz,339,30.09,0.9617,0.2684,0.615
HandWash_007_A_04_G_01,HandWash_007_A_04_G_01.npz,474,30.06,0.9958,0.597,0.7964
HandWash_008_A_04_G_01,HandWash_008_A_04_G_01.npz,405,30.07,0.9309,0.9111,0.921
HandWash_009_A_04_G_02,HandWash_009_A_04_G_02.npz,611,30.05,0.9182,0.9673,0.9427
HandWash_010_A_04_G_02,HandWash_010_A_04_G_02.npz,538,30.06,0.9089,0.9219,0.9154
HandWash_011_A_04_G_02,HandWash_011_A_04_G_02.npz,541,30.06,0.8429,0.9667,0.9048
HandWash_012_A_04_G_03,HandWash_012_A_04_G_03.npz,336,30.09,1.0,0.9077,0.9539
HandWash_013_A_04_G_03,HandWash_013_A_04_G_03.npz,339,30.09,0.9941,0.9263,0.9602
HandWash_014_A_04_G_03,HandWash_014_A_04_G_03.npz,339,30.09,0.9145,1.0,0.9572
HandWash_015_A_04_G_04,HandWash_015_A_04_G_04.npz,339,30.09,0.8968,1.0,0.9484
HandWash_016_A_04_G_04,HandWash_016_A_04_G_04.npz,272,30.11,0.9154,1.0,0.9577
HandWash_017_A_04_G_04,HandWash_017_A_04_G_04.npz,336,30.09,0.8929,1.0,0.9464
HandWash_018_A_04_G_05,HandWash_018_A_04_G_05.npz,306,30.1,0.5163,0.7876,0.652
HandWash_019_A_04_G_05,HandWash_019_A_04_G_05.npz,314,30.1,0.5701,0.9968,0.7834
HandWash_020_A_04_G_05,HandWash_020_A_04_G_05.npz,492,30.06,0.25,0.9858,0.6179
HandWash_021_A_04_G_05,HandWash_021_A_04_G_05.npz,452,30.07,0.0929,0.9668,0.5299
HandWash_022_A_04_G_05,HandWash_022_A_04_G_05.npz,403,30.07,0.1365,0.8883,0.5124
HandWash_023_A_04_G_05,HandWash_023_A_04_G_05.npz,398,30.08,0.0905,0.9925,0.5415
HandWash_024_A_04_G_05,HandWash_024_A_04_G_05.npz,298,30.1,0.3792,1.0,0.6896
HandWash_025_A_04_G_05,HandWash_025_A_04_G_05.npz,236,30.13,0.1059,0.8898,0.4979
HandWash_001_A_05_G_01,HandWash_001_A_05_G_01.npz,411,30.07,0.3674,0.9927,0.68
HandWash_002_A_05_G_01,HandWash_002_A_05_G_01.npz,344,30.09,0.3401,0.9971,0.6686
HandWash_003_A_05_G_01,HandWash_003_A_05_G_01.npz,398,30.08,0.2362,0.9322,0.5842
HandWash_004_A_05_G_01,HandWash_004_A_05_G_01.npz,401,30.08,0.1446,1.0,0.5723
HandWash_005_A_05_G_01,HandWash_005_A_05_G_01.npz,401,30.08,0.2219,1.0,0.611
HandWash_006_A_05_G_01,HandWash_006_A_05_G_01.npz,615,30.05,0.1724,0.9691,0.5707
HandWash_007_A_05_G_01,HandWash_007_A_05_G_01.npz,615,30.05,0.1138,0.974,0.5439
HandWash_008_A_05_G_01,HandWash_008_A_05_G_01.npz,810,30.04,0.1309,0.9691,0.55
HandWash_009_A_05_G_02,HandWash_009_A_05_G_02.npz,538,30.06,0.7621,0.6078,0.6849
HandWash_010_A_05_G_02,HandWash_010_A_05_G_02.npz,538,30.06,0.8364,0.6468,0.7416
HandWash_011_A_05_G_02,HandWash_011_A_05_G_02.npz,674,30.04,0.8116,0.6632,0.7374
HandWash_012_A_05_G_03,HandWash_012_A_05_G_03.npz,408,30.07,1.0,0.8284,0.9142
HandWash_013_A_05_G_03,HandWash_013_A_05_G_03.npz,272,30.11,0.9743,0.8272,0.9007
HandWash_014_A_05_G_03,HandWash_014_A_05_G_03.npz,405,30.07,0.9975,0.9333,0.9654
HandWash_015_A_05_G_04,HandWash_015_A_05_G_04.npz,403,30.07,0.206,0.9826,0.5943
HandWash_016_A_05_G_04,HandWash_016_A_05_G_04.npz,403,30.07,0.5087,0.9702,0.7395
HandWash_017_A_05_G_04,HandWash_017_A_05_G_04.npz,408,30.07,0.2868,0.9706,0.6287
HandWash_018_A_05_G_05,HandWash_018_A_05_G_05.npz,361,30.08,0.277,0.5568,0.4169
HandWash_019_A_05_G_05,HandWash_019_A_05_G_05.npz,267,30.11,1.0,0.7079,0.8539
HandWash_020_A_05_G_05,HandWash_020_A_05_G_05.npz,571,30.05,1.0,0.6182,0.8091
HandWash_021_A_05_G_05,HandWash_021_A_05_G_05.npz,325,30.09,0.6031,0.7662,0.6846
HandWash_022_A_05_G_05,HandWash_022_A_05_G_05.npz,390,30.08,0.3205,0.2923,0.3064
HandWash_023_A_05_G_05,HandWash_023_A_05_G_05.npz,360,30.08,0.9778,0.9944,0.9861
HandWash_024_A_05_G_05,HandWash_024_A_05_G_05.npz,380,30.08,0.9974,0.8158,0.9066
HandWash_025_A_05_G_05,HandWash_025_A_05_G_05.npz,275,30.11,0.88,0.7491,0.8145
HandWash_001_A_06_G_01,HandWash_001_A_06_G_01.npz,408,30.07,1.0,0.4755,0.7377
HandWash_002_A_06_G_01,HandWash_002_A_06_G_01.npz,339,30.09,1.0,0.5959,0.7979
HandWash_003_A_06_G_01,HandWash_003_A_06_G_01.npz,401,30.08,0.9875,0.7955,0.8915
HandWash_004_A_06_G_01,HandWash_004_A_06_G_01.npz,327,30.09,1.0,0.8104,0.9052
HandWash_005_A_06_G_01,HandWash_005_A_06_G_01.npz,472,30.06,1.0,0.8941,0.947
HandWash_006_A_06_G_01,HandWash_006_A_06_G_01.npz,405,30.07,0.9185,0.9481,0.9333
HandWash_007_A_06_G_01,HandWash_007_A_06_G_01.npz,677,30.04,1.0,0.9513,0.9756
HandWash_008_A_06_G_01,HandWash_008_A_06_G_01.npz,405,30.07,0.9802,0.9778,0.979
HandWash_009_A_06_G_02,HandWash_009_A_06_G_02.npz,612,30.05,0.9297,0.8954,0.9126
HandWash_010_A_06_G_02,HandWash_010_A_06_G_02.npz,548,30.05,0.9343,0.8996,0.917
HandWash_011_A_06_G_02,HandWash_011_A_06_G_02.npz,541,30.06,0.9039,0.9372,0.9205
HandWash_012_A_06_G_03,HandWash_012_A_06_G_03.npz,405,30.07,1.0,0.7877,0.8938
HandWash_013_A_06_G_03,HandWash_013_A_06_G_03.npz,339,30.09,1.0,0.8024,0.9012
HandWash_014_A_06_G_03,HandWash_014_A_06_G_03.npz,339,30.09,1.0,0.9646,0.9823
HandWash_015_A_06_G_04,HandWash_015_A_06_G_04.npz,405,30.07,0.9284,0.9407,0.9346
HandWash_016_A_06_G_04,HandWash_016_A_06_G_04.npz,341,30.09,0.9472,0.9648,0.956
HandWash_017_A_06_G_04,HandWash_017_A_06_G_04.npz,344,30.09,0.9419,0.9564,0.9491
HandWash_018_A_06_G_05,HandWash_018_A_06_G_05.npz,344,30.09,0.5262,0.6628,0.5945
HandWash_019_A_06_G_05,HandWash_019_A_06_G_05.npz,243,30.12,1.0,0.7284,0.8642
HandWash_020_A_06_G_05,HandWash_020_A_06_G_05.npz,428,30.07,1.0,0.8949,0.9474
HandWash_021_A_06_G_05,HandWash_021_A_06_G_05.npz,358,30.08,0.838,0.7318,0.7849
HandWash_022_A_06_G_05,HandWash_022_A_06_G_05.npz,324,30.09,0.9568,0.4815,0.7191
HandWash_023_A_06_G_05,HandWash_023_A_06_G_05.npz,310,30.1,0.9935,0.9129,0.9532
HandWash_024_A_06_G_05,HandWash_024_A_06_G_05.npz,294,30.1,0.9286,1.0,0.9643
HandWash_025_A_06_G_05,HandWash_025_A_06_G_05.npz,211,30.14,1.0,0.0427,0.5213
HandWash_001_A_07_G_01,HandWash_001_A_07_G_01.npz,339,30.09,0.5546,0.9617,0.7581
HandWash_002_A_07_G_01,HandWash_002_A_07_G_01.npz,270,30.11,0.3926,0.9481,0.6704
HandWash_003_A_07_G_01,HandWash_003_A_07_G_01.npz,251,30.12,0.5578,0.9801,0.7689
HandWash_004_A_07_G_01,HandWash_004_A_07_G_01.npz,251,30.12,0.5697,0.9801,0.7749
HandWash_005_A_07_G_01,HandWash_005_A_07_G_01.npz,251,30.12,0.5697,0.9801,0.7749
HandWash_006_A_07_G_01,HandWash_006_A_07_G_01.npz,474,30.06,0.5464,0.9451,0.7458
HandWash_007_A_07_G_01,HandWash_007_A_07_G_01.npz,541,30.06,0.3993,1.0,0.6996
HandWash_008_A_07_G_01,HandWash_008_A_07_G_01.npz,810,30.04,0.3037,1.0,0.6519
HandWash_009_A_07_G_02,HandWash_009_A_07_G_02.npz,474,30.06,0.7954,0.9873,0.8914
HandWash_010_A_07_G_02,HandWash_010_A_07_G_02.npz,544,30.06,0.7261,0.9577,0.8419
HandWash_011_A_07_G_02,HandWash_011_A_07_G_02.npz,542,30.06,0.8137,0.9244,0.869
HandWash_012_A_07_G_03,HandWash_012_A_07_G_03.npz,336,30.09,0.9018,0.9077,0.9048
HandWash_013_A_07_G_03,HandWash_013_A_07_G_03.npz,400,30.08,0.41,0.9725,0.6913
HandWash_014_A_07_G_03,HandWash_014_A_07_G_03.npz,408,30.07,0.6765,0.9828,0.8297
HandWash_015_A_07_G_04,HandWash_015_A_07_G_04.npz,341,30.09,0.4868,0.9589,0.7229
HandWash_016_A_07_G_04,HandWash_016_A_07_G_04.npz,405,30.07,0.6765,0.9556,0.816
HandWash_017_A_07_G_04,HandWash_017_A_07_G_04.npz,403,30.07,0.3623,0.9826,0.6725
HandWash_018_A_07_G_05,HandWash_018_A_07_G_05.npz,381,30.08,0.5066,0.8583,0.6824
HandWash_019_A_07_G_05,HandWash_019_A_07_G_05.npz,272,30.11,0.864,0.9853,0.9246
HandWash_020_A_07_G_05,HandWash_020_A_07_G_05.npz,321,30.09,0.6386,1.0,0.8193
HandWash_021_A_07_G_05,HandWash_021_A_07_G_05.npz,616,30.05,0.2662,0.8961,0.5812
HandWash_022_A_07_G_05,HandWash_022_A_07_G_05.npz,360,30.08,0.4306,0.6639,0.5472
HandWash_023_A_07_G_05,HandWash_023_A_07_G_05.npz,454,30.07,0.5154,0.8458,0.6806
HandWash_024_A_07_G_05,HandWash_024_A_07_G_05.npz,344,30.09,0.9593,0.9535,0.9564
HandWash_025_A_07_G_05,HandWash_025_A_07_G_05.npz,396,30.08,0.3939,0.7197,0.5568
HandWash_001_A_08_G_01,HandWash_001_A_08_G_01.npz,336,30.09,0.753,0.1429,0.4479
HandWash_002_A_08_G_01,HandWash_002_A_08_G_01.npz,270,30.11,0.7593,0.1185,0.4389
HandWash_003_A_08_G_01,HandWash_003_A_08_G_01.npz,325,30.09,0.8431,0.9385,0.8908
HandWash_004_A_08_G_01,HandWash_004_A_08_G_01.npz,253,30.12,0.9407,0.9328,0.9368
HandWash_005_A_08_G_01,HandWash_005_A_08_G_01.npz,180,30.17,0.8778,0.8889,0.8833
HandWash_006_A_08_G_01,HandWash_006_A_08_G_01.npz,536,30.06,0.7146,0.9123,0.8134
HandWash_007_A_08_G_01,HandWash_007_A_08_G_01.npz,403,30.07,0.6824,0.9082,0.7953
HandWash_008_A_08_G_01,HandWash_008_A_08_G_01.npz,743,30.04,0.6729,0.9219,0.7974
HandWash_009_A_08_G_02,HandWash_009_A_08_G_02.npz,542,30.06,0.8616,0.5978,0.7297
HandWash_010_A_08_G_02,HandWash_010_A_08_G_02.npz,610,30.05,0.8492,0.8721,0.8607
HandWash_011_A_08_G_02,HandWash_011_A_08_G_02.npz,407,30.07,0.8526,0.5184,0.6855
HandWash_012_A_08_G_03,HandWash_012_A_08_G_03.npz,462,30.07,0.9762,0.697,0.8366
HandWash_013_A_08_G_03,HandWash_013_A_08_G_03.npz,393,30.08,0.9822,0.7074,0.8448
HandWash_014_A_08_G_03,HandWash_014_A_08_G_03.npz,528,30.06,1.0,0.7367,0.8684
HandWash_015_A_08_G_04,HandWash_015_A_08_G_04.npz,267,30.11,0.9438,0.6929,0.8184
HandWash_016_A_08_G_04,HandWash_016_A_08_G_04.npz,538,30.06,0.9219,0.4405,0.6812
HandWash_017_A_08_G_04,HandWash_017_A_08_G_04.npz,469,30.06,0.9168,0.3539,0.6354
HandWash_018_A_08_G_05,HandWash_018_A_08_G_05.npz,358,30.08,0.8296,0.4441,0.6369
HandWash_019_A_08_G_05,HandWash_019_A_08_G_05.npz,262,30.11,0.9695,0.7634,0.8664
HandWash_020_A_08_G_05,HandWash_020_A_08_G_05.npz,387,30.08,0.9457,0.6796,0.8127
HandWash_021_A_08_G_05,HandWash_021_A_08_G_05.npz,385,30.08,0.7351,0.2026,0.4688
HandWash_022_A_08_G_05,HandWash_022_A_08_G_05.npz,340,30.09,0.9265,0.2588,0.5926
HandWash_023_A_08_G_05,HandWash_023_A_08_G_05.npz,370,30.08,0.8838,0.3946,0.6392
HandWash_024_A_08_G_05,HandWash_024_A_08_G_05.npz,256,30.12,0.957,0.4531,0.7051
HandWash_025_A_08_G_05,HandWash_025_A_08_G_05.npz,192,30.16,0.8854,0.3542,0.6198
HandWash_001_A_09_G_01,HandWash_001_A_09_G_01.npz,272,30.11,0.1397,1.0,0.5699
HandWash_002_A_09_G_01,HandWash_002_A_09_G_01.npz,270,30.11,0.1407,1.0,0.5704
HandWash_003_A_09_G_01,HandWash_003_A_09_G_01.npz,330,30.09,0.9152,0.9364,0.9258
HandWash_004_A_09_G_01,HandWash_004_A_09_G_01.npz,333,30.09,0.8258,0.982,0.9039
HandWash_005_A_09_G_01,HandWash_005_A_09_G_01.npz,407,30.07,0.855,1.0,0.9275
HandWash_006_A_09_G_01,HandWash_006_A_09_G_01.npz,469,30.06,0.5565,0.9979,0.7772
HandWash_007_A_09_G_01,HandWash_007_A_09_G_01.npz,538,30.06,0.7416,0.8625,0.802
HandWash_008_A_09_G_01,HandWash_008_A_09_G_01.npz,743,30.04,0.7497,0.9556,0.8526
HandWash_009_A_09_G_02,HandWash_009_A_09_G_02.npz,271,30.11,1.0,0.7528,0.8764
HandWash_010_A_09_G_02,HandWash_010_A_09_G_02.npz,404,30.07,0.9851,0.8639,0.9245
HandWash_011_A_09_G_02,HandWash_011_A_09_G_02.npz,338,30.09,0.9911,0.8018,0.8964
HandWash_012_A_09_G_03,HandWash_012_A_09_G_03.npz,459,30.07,0.9956,0.9499,0.9728
HandWash_013_A_09_G_03,HandWash_013_A_09_G_03.npz,262,30.11,0.9542,0.9695,0.9618
HandWash_014_A_09_G_03,HandWash_014_A_09_G_03.npz,398,30.08,0.9472,0.9774,0.9623
HandWash_015_A_09_G_04,HandWash_015_A_09_G_04.npz,400,30.08,0.935,0.9975,0.9663
HandWash_016_A_09_G_04,HandWash_016_A_09_G_04.npz,536,30.06,0.9627,0.9459,0.9543
HandWash_017_A_09_G_04,HandWash_017_A_09_G_04.npz,400,30.08,0.9325,0.9675,0.95
HandWash_018_A_09_G_05,HandWash_018_A_09_G_05.npz,444,30.07,0.9955,0.0428,0.5191
HandWash_019_A_09_G_05,HandWash_019_A_09_G_05.npz,326,30.09,1.0,0.2945,0.6472
HandWash_020_A_09_G_05,HandWash_020_A_09_G_05.npz,305,30.1,1.0,0.6262,0.8131
HandWash_021_A_09_G_05,HandWash_021_A_09_G_05.npz,335,30.09,1.0,0.9254,0.9627
HandWash_022_A_09_G_05,HandWash_022_A_09_G_05.npz,350,30.09,0.9971,0.2314,0.6143
HandWash_023_A_09_G_05,HandWash_023_A_09_G_05.npz,173,30.17,1.0,1.0,1.0
HandWash_024_A_09_G_05,HandWash_024_A_09_G_05.npz,242,30.12,1.0,0.8719,0.936
HandWash_025_A_09_G_05,HandWash_025_A_09_G_05.npz,244,30.12,0.9918,0.8566,0.9242
HandWash_001_A_10_G_01,HandWash_001_A_10_G_01.npz,334,30.09,0.5359,0.3683,0.4521
HandWash_002_A_10_G_01,HandWash_002_A_10_G_01.npz,334,30.09,0.6677,0.2665,0.4671
HandWash_003_A_10_G_01,HandWash_003_A_10_G_01.npz,325,30.09,0.8,0.9538,0.8769
HandWash_004_A_10_G_01,HandWash_004_A_10_G_01.npz,180,30.17,0.8,0.9333,0.8667
HandWash_005_A_10_G_01,HandWash_005_A_10_G_01.npz,327,30.09,0.8012,0.948,0.8746
HandWash_006_A_10_G_01,HandWash_006_A_10_G_01.npz,541,30.06,0.8503,0.5527,0.7015
HandWash_007_A_10_G_01,HandWash_007_A_10_G_01.npz,610,30.05,0.8574,0.5803,0.7189
HandWash_008_A_10_G_01,HandWash_008_A_10_G_01.npz,541,30.06,0.8466,0.7283,0.7874
HandWash_009_A_10_G_02,HandWash_009_A_10_G_02.npz,274,30.11,0.3102,0.9453,0.6277
HandWash_010_A_10_G_02,HandWash_010_A_10_G_02.npz,274,30.11,0.4161,0.927,0.6715
HandWash_011_A_10_G_02,HandWash_011_A_10_G_02.npz,279,30.11,0.4588,0.9211,0.69
HandWash_012_A_10_G_03,HandWash_012_A_10_G_03.npz,201,30.15,0.1542,1.0,0.5771
HandWash_013_A_10_G_03,HandWash_013_A_10_G_03.npz,408,30.07,0.4044,0.9779,0.6912
HandWash_014_A_10_G_03,HandWash_014_A_10_G_03.npz,201,30.15,0.1542,1.0,0.5771
HandWash_015_A_10_G_04,HandWash_015_A_10_G_04.npz,474,30.06,0.9325,0.6667,0.7996
HandWash_016_A_10_G_04,HandWash_016_A_10_G_04.npz,474,30.06,0.9705,0.5021,0.7363
HandWash_017_A_10_G_04,HandWash_017_A_10_G_04.npz,341,30.09,0.651,0.9824,0.8167
HandWash_018_A_10_G_05,HandWash_018_A_10_G_05.npz,223,30.14,0.4529,1.0,0.7265
HandWash_019_A_10_G_05,HandWash_019_A_10_G_05.npz,351,30.09,0.9316,0.9801,0.9558
HandWash_020_A_10_G_05,HandWash_020_A_10_G_05.npz,257,30.12,0.6031,0.8949,0.749
HandWash_021_A_10_G_05,HandWash_021_A_10_G_05.npz,375,30.08,0.896,1.0,0.948
HandWash_022_A_10_G_05,HandWash_022_A_10_G_05.npz,297,30.1,0.2458,0.9562,0.601
HandWash_023_A_10_G_05,HandWash_023_A_10_G_05.npz,232,30.13,0.5388,0.7586,0.6487
HandWash_024_A_10_G_05,HandWash_024_A_10_G_05.npz,286,30.11,0.7692,0.9755,0.8724
HandWash_025_A_10_G_05,HandWash_025_A_10_G_05.npz,288,30.1,0.7847,1.0,0.8924
HandWash_001_A_11_G_01,HandWash_001_A_11_G_01.npz,129,30.23,0.5271,0.1473,0.3372
HandWash_002_A_11_G_01,HandWash_002_A_11_G_01.npz,251,30.12,0.9323,0.2112,0.5717
HandWash_003_A_11_G_01,HandWash_003_A_11_G_01.npz,253,30.12,0.8972,0.2292,0.5632
HandWash_004_A_11_G_01,HandWash_004_A_11_G_01.npz,327,30.09,0.9052,0.3028,0.604
HandWash_005_A_11_G_01,HandWash_005_A_11_G_01.npz,253,30.12,0.8972,0.2292,0.5632
HandWash_006_A_11_G_01,HandWash_006_A_11_G_01.npz,541,30.06,0.7634,0.2384,0.5009
HandWash_007_A_11_G_01,HandWash_007_A_11_G_01.npz,541,30.06,0.8688,0.3327,0.6007
HandWash_008_A_11_G_01,HandWash_008_A_11_G_01.npz,544,30.06,0.9504,0.3254,0.6379
HandWash_009_A_11_G_02,HandWash_009_A_11_G_02.npz,276,30.11,0.3659,0.3732,0.3696
HandWash_010_A_11_G_02,HandWash_010_A_11_G_02.npz,279,30.11,0.4731,0.2832,0.3781
