split_row_idx,video_stem,subject_id,g_group,split,class_name,class_idx,window_idx,start_frame,start_time_sec
70,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,3,24,1.6
71,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,4,32,2.1333
72,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,5,40,2.6667
73,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,6,48,3.2
74,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,7,56,3.7333
75,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,8,64,4.2667
76,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,9,72,4.8
77,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,10,80,5.3333
78,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,11,88,5.8667
79,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,12,96,6.4
80,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,13,104,6.9333
81,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,14,112,7.4667
82,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,15,120,8.0
83,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,16,128,8.5333
84,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,17,136,9.0667
85,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,18,144,9.6
86,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,19,152,10.1333
87,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,20,160,10.6667
88,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,21,168,11.2
89,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,22,176,11.7333
90,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,23,184,12.2667
91,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,24,192,12.8
92,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,25,200,13.3333
93,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,26,208,13.8667
94,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,27,216,14.4
95,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,28,224,14.9333
96,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,29,232,15.4667
97,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,30,240,16.0
10,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,0,0,0.0
11,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,1,15,1.0
12,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,2,30,2.0
13,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,3,45,3.0
14,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,4,60,4.0
15,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,5,75,5.0
16,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,6,90,6.0
17,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,7,105,7.0
18,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,8,120,8.0
19,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,9,135,9.0
20,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,10,150,10.0
21,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,11,165,11.0
22,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,12,180,12.0
23,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,13,195,13.0
24,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,14,210,14.0
25,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,15,225,15.0
26,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,16,240,16.0
27,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,17,255,17.0
28,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,18,270,18.0
29,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,19,285,19.0
30,HandWash_007_A_01_G01,7,G01,test,step1_palma_palma,0,20,300,20.0
98,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,0,0,0.0
99,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,1,8,0.5333
100,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,2,16,1.0667
101,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,3,24,1.6
102,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,4,32,2.1333
103,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,5,40,2.6667
104,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,6,48,3.2
105,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,7,56,3.7333
106,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,8,64,4.2667
107,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,9,72,4.8
108,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,10,80,5.3333
109,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,11,88,5.8667
110,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,12,96,6.4
111,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,13,104,6.9333
112,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,14,112,7.4667
113,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,15,120,8.0
114,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,16,128,8.5333
115,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,17,136,9.0667
116,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,18,144,9.6
117,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,19,152,10.1333
118,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,20,160,10.6667
119,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,21,168,11.2
120,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,22,176,11.7333
121,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,23,184,12.2667
122,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,24,192,12.8
123,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,25,200,13.3333
124,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,26,208,13.8667
125,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,27,216,14.4
126,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,28,224,14.9333
127,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,29,232,15.4667
128,HandWash_008_A_01_G01,8,G01,train,step1_palma_palma,0,30,240,16.0
129,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,0,0,0.0
130,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,1,8,0.5333
131,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,2,16,1.0667
132,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,3,24,1.6
133,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,4,32,2.1333
134,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,5,40,2.6667
135,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,6,48,3.2
136,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,7,56,3.7333
137,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,8,64,4.2667
138,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,9,72,4.8
139,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,10,80,5.3333
140,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,11,88,5.8667
141,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,12,96,6.4
142,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,13,104,6.9333
143,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,14,112,7.4667
144,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,15,120,8.0
145,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,16,128,8.5333
146,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,17,136,9.0667
147,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,18,144,9.6
148,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,19,152,10.1333
149,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,20,160,10.6667
150,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,21,168,11.2
151,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,22,176,11.7333
152,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,23,184,12.2667
153,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,24,192,12.8
154,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,25,200,13.3333
155,HandWash_009_A_01_G02,9,G02,train,step1_palma_palma,0,26,208,13.8667
156,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,0,0,0.0
157,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,1,8,0.5333
158,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,2,16,1.0667
159,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,3,24,1.6
160,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,4,32,2.1333
161,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,5,40,2.6667
162,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,6,48,3.2
163,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,7,56,3.7333
164,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,8,64,4.2667
165,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,9,72,4.8
166,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,10,80,5.3333
167,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,11,88,5.8667
168,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,12,96,6.4
169,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,13,104,6.9333
170,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,14,112,7.4667
171,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,15,120,8.0
172,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,16,128,8.5333
173,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,17,136,9.0667
174,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,18,144,9.6
175,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,19,152,10.1333
176,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,20,160,10.6667
177,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,21,168,11.2
178,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,22,176,11.7333
179,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,23,184,12.2667
180,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,24,192,12.8
181,HandWash_010_A_01_G02,10,G02,train,step1_palma_palma,0,25,200,13.3333
182,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,0,0,0.0
183,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,1,8,0.5333
184,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,2,16,1.0667
185,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,3,24,1.6
186,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,4,32,2.1333
187,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,5,40,2.6667
188,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,6,48,3.2
189,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,7,56,3.7333
190,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,8,64,4.2667
191,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,9,72,4.8
192,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,10,80,5.3333
193,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,11,88,5.8667
194,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,12,96,6.4
195,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,13,104,6.9333
196,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,14,112,7.4667
197,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,15,120,8.0
198,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,16,128,8.5333
199,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,17,136,9.0667
200,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,18,144,9.6
201,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,19,152,10.1333
202,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,20,160,10.6667
203,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,21,168,11.2
204,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,22,176,11.7333
205,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,23,184,12.2667
206,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,24,192,12.8
207,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,25,200,13.3333
208,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,26,208,13.8667
209,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,27,216,14.4
210,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,28,224,14.9333
211,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,29,232,15.4667
212,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,30,240,16.0
213,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,31,248,16.5333
214,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,32,256,17.0667
215,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,33,264,17.6
216,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,34,272,18.1333
217,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,35,280,18.6667
218,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,36,288,19.2
219,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,37,296,19.7333
220,HandWash_011_A_01_G02,11,G02,train,step1_palma_palma,0,38,304,20.2667
221,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,0,0,0.0
222,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,1,8,0.5333
223,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,2,16,1.0667
224,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,3,24,1.6
225,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,4,32,2.1333
226,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,5,40,2.6667
227,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,6,48,3.2
228,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,7,56,3.7333
229,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,8,64,4.2667
230,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,9,72,4.8
231,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,10,80,5.3333
232,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,11,88,5.8667
233,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,12,96,6.4
234,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,13,104,6.9333
235,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,14,112,7.4667
236,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,15,120,8.0
237,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,16,128,8.5333
238,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,17,136,9.0667
239,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,18,144,9.6
240,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,19,152,10.1333
241,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,20,160,10.6667
242,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,21,168,11.2
243,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,22,176,11.7333
244,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,23,184,12.2667
245,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,24,192,12.8
246,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,25,200,13.3333
247,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,26,208,13.8667
248,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,27,216,14.4
249,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,28,224,14.9333
250,HandWash_012_A_01_G03,12,G03,train,step1_palma_palma,0,29,232,15.4667
31,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,0,0,0.0
32,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,1,15,1.0
33,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,2,30,2.0
34,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,3,45,3.0
35,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,4,60,4.0
36,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,5,75,5.0
37,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,6,90,6.0
38,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,7,105,7.0
39,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,8,120,8.0
40,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,9,135,9.0
41,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,10,150,10.0
42,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,11,165,11.0
43,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,12,180,12.0
44,HandWash_013_A_01_G03,13,G03,test,step1_palma_palma,0,13,195,13.0
251,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,0,0,0.0
252,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,1,8,0.5333
253,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,2,16,1.0667
254,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,3,24,1.6
255,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,4,32,2.1333
256,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,5,40,2.6667
257,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,6,48,3.2
258,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,7,56,3.7333
259,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,8,64,4.2667
260,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,9,72,4.8
261,HandWash_014_A_01_G03,14,G03,train,step1_palma_palma,0,10,80,5.3333
